8,10,33,35,49,2,9
13,36,37,42,47,7,11
6,10,27,32,48,3,8
15,20,29,35,42,2,9
7,16,31,43,46,5,9
17,22,23,24,44,6,11
1,3,11,20,43,2,11
5,14,25,26,40,5,7
4,14,31,36,38,3,10
3,21,36,41,46,1,6
10,23,24,29,45,8,10
3,4,29,39,43,5,10
22,30,41,44,49,2,7
9,37,41,42,49,1,9
2,11,19,30,49,3,8
6,8,14,27,41,4,5
8,15,24,35,42,6,8
18,20,29,41,48,5,9
12,27,36,37,42,6,7
20,33,35,41,47,4,12
3,19,29,35,37,1,9
8,13,28,29,35,10,
9,11,24,29,36,6,
2,18,19,23,28,3,
4,7,20,38,41,5,
6,16,23,28,30,7,
13,22,30,42,43,5,
5,8,21,22,40,10,
10,11,12,36,45,8,
3,25,31,34,37,6,
19,24,28,32,39,9,
18,29,31,34,38,1,
3,12,13,35,43,1,
2,8,10,19,24,9,
1,3,17,30,39,5,
1,9,24,31,36,8,
7,9,10,23,26,1,
5,14,22,33,44,5,
9,15,18,24,37,7,
12,15,39,43,47,5,
2,11,29,37,45,6,
8,15,19,32,38,9,
12,17,27,32,43,3,
3,15,28,32,34,5,
7,13,18,20,31,8,
17,18,22,23,29,7,
22,33,34,35,43,10,
6,14,21,24,36,1,
27,32,33,41,47,4,
12,18,30,35,43,6,
5,6,30,46,47,5,
12,13,15,17,30,10,
1,4,23,38,39,3,
4,6,32,35,45,6,
3,5,23,32,44,8,
3,9,21,22,31,10,
4,8,21,25,43,9,
2,29,33,37,41,9,
15,30,32,33,39,4,
23,33,35,42,43,6,
11,25,26,34,47,8,
20,27,42,43,46,9,
6,10,17,24,40,8,
8,23,31,38,47,9,
2,6,18,24,34,2,
6,8,11,24,45,2,
7,20,25,30,33,3,
1,3,9,26,32,1,
5,7,27,38,46,8,
2,6,10,29,47,3,
7,11,15,21,32,6,
11,34,35,44,45,10,
5,10,14,19,34,8,
4,6,8,19,34,9,
8,15,27,32,33,5,
20,32,33,43,45,10,
10,18,24,27,38,5,
6,22,23,36,41,6,
10,16,19,24,38,3,
28,30,31,32,42,10,
3,24,29,31,41,6,
2,11,15,19,38,8,
5,11,12,25,26,7,
4,7,13,28,34,3,
14,20,31,40,43,9,
9,10,25,32,41,8,
4,12,16,21,26,3,
5,10,19,23,44,10,
1,14,17,27,35,9,
11,15,26,33,44,10,
5,10,14,35,45,4,
6,18,22,29,40,9,
3,27,43,46,47,2,
1,17,26,39,46,6,
6,18,26,35,41,5,
1,3,21,22,27,10,
11,13,19,27,42,8,
3,5,6,36,43,1,
2,9,16,17,41,3,
19,30,35,40,44,2,
5,10,19,26,41,4,
11,23,24,26,35,2,
3,4,11,14,18,7,
2,11,19,38,43,6,
4,11,22,25,34,6,
12,21,30,35,44,9,
11,29,32,34,42,9,
7,15,25,30,38,9,
4,6,28,29,45,4,
3,10,21,24,39,2,
16,17,19,23,38,5,
7,11,12,36,46,9,
5,11,25,30,42,6,
6,20,27,29,36,8,
13,19,26,37,43,5,
3,4,8,10,28,1,
3,7,11,23,29,7,
7,29,35,40,46,8,
7,20,23,36,44,4,
6,23,26,27,34,2,
9,15,22,40,44,5,
4,14,21,35,36,5,
15,16,23,35,42,1,
19,31,37,39,40,4,
12,14,26,39,46,4,
1,20,26,36,38,6,
8,13,15,25,39,6,
1,4,6,30,47,9,
10,23,27,28,36,3,
8,9,10,19,37,10,
8,27,29,31,42,5,
16,21,26,29,36,2,
4,22,27,35,45,6,
1,8,33,38,42,9,
16,22,24,32,38,9,
11,13,14,20,26,8,
15,23,40,43,44,1,
4,5,9,14,42,9,
4,7,11,18,27,3,
11,30,31,34,45,3,
1,7,25,27,35,6,
5,29,30,31,37,6,
4,20,31,35,38,1,
5,18,22,31,32,3,
6,16,18,33,34,4,
3,20,25,26,35,7,
11,17,26,30,43,8,
1,8,12,27,46,2,
4,24,27,31,36,8,
10,16,36,39,40,7,
9,15,24,33,45,2,
3,28,30,35,40,7,
7,12,31,34,35,7,
10,25,42,43,46,4,
3,9,34,37,42,3,
18,19,22,34,40,5,
18,38,42,45,46,2,
2,30,39,41,45,9,
17,18,23,33,44,6,
6,14,22,28,36,3,
18,21,24,29,47,7,
6,18,21,25,34,10,
5,32,34,38,44,9,
3,6,7,14,18,5,
2,4,8,11,28,1,
8,9,21,32,42,8,
3,6,24,27,34,5,
3,11,17,18,23,6,
11,26,28,32,39,2,
4,11,26,44,47,10,
2,4,7,22,34,2,
4,6,9,10,40,5,
3,5,13,31,39,2,
11,17,26,29,47,6,
3,9,17,23,41,9,
15,17,27,35,39,8,
3,4,22,30,34,4,
5,8,14,18,20,4,
3,8,14,17,25,9,
2,4,34,37,46,6,
7,12,19,21,31,5,
8,10,12,28,45,9,
1,15,34,35,38,5,
13,17,37,44,45,9,
7,31,36,39,44,1,
1,12,14,19,42,2,
23,36,41,42,46,4,
11,21,22,27,41,5,
7,13,27,33,40,4,
6,9,15,19,34,3,
14,18,23,28,46,9,
3,27,42,45,46,6,
12,14,19,23,32,5,
6,7,31,38,42,6,
20,21,24,27,36,5,
8,20,25,35,40,4,
7,18,37,38,41,1,
12,21,29,33,37,7,
15,25,33,34,36,8,
2,5,21,32,43,7,
5,14,15,43,44,1,
21,22,23,38,41,5,
15,26,27,30,31,10,
4,9,17,31,42,9,
7,37,39,40,47,1,
5,24,25,39,45,5,
3,4,6,18,41,8,
1,15,16,22,35,4,
1,28,31,34,44,5,
8,21,23,31,38,3,
5,14,24,36,41,10,
6,15,21,30,47,2,
22,25,28,35,47,4,
10,18,27,34,36,3,
3,10,15,19,29,6,
5,8,21,26,37,1,
16,25,26,34,41,3,
10,19,24,41,44,4,
1,10,14,34,39,6,
6,25,26,33,35,1,
3,13,23,34,39,4,
8,12,17,33,42,7,
5,16,19,21,36,8,
11,21,22,32,45,6,
2,3,32,35,36,9,
9,12,15,33,44,10,
11,16,36,37,43,9,
10,11,13,14,45,3,
10,21,26,31,38,9,
8,12,27,28,44,9,
